metric,label,available,mean,min,max,spearman_rating_vs_similarity,spearman_p_two_sided,spearman_exact_p_two_sided,unique_rating_permutations,kendall_rating_vs_similarity,kendall_p_two_sided
bleu4,BLEU-4,true,0.49517664,0.09223350,0.83346766,-0.41720932,0.23030968,0.23013228,226800,-0.30265313,0.23727785
chrfpp,chrF++,true,0.67378035,0.36568917,0.90388672,-0.56445967,0.08915311,0.09358025,226800,-0.34921515,0.17268204
meteor,METEOR,true,0.74304365,0.46256702,0.94846510,-0.29450070,0.40880584,0.40668430,226800,-0.20952909,0.41325338
rouge_l,ROUGE-L,true,0.75177765,0.41558442,0.94871795,-0.33744872,0.34030017,0.33884480,226800,-0.25609111,0.31731051
unigram_f1,word unigram F1,true,0.74280736,0.51948052,0.94871795,-0.39266760,0.26167819,0.26055556,226800,-0.30265313,0.23727785
trigram_f1,word trigram F1,true,0.45700649,0.05714286,0.86486486,-0.53991794,0.10718505,0.11116402,226800,-0.30265313,0.23727785
char_trigram_f1,character trigram F1,true,0.68456663,0.34437086,0.93557423,-0.56445967,0.08915311,0.09358025,226800,-0.34921515,0.17268204
word_edit_similarity,word edit similarity,true,0.66147317,0.27500000,0.94871795,-0.52151165,0.12211083,0.12521164,226800,-0.39577717,0.12223636
bertscore,BERTScore F1,true,0.94979078,0.87774163,0.99082768,-0.39880303,0.25362658,0.25260141,226800,-0.25609111,0.31731051
comet,COMET,true,0.76652699,0.61286026,0.85371596,-0.53991794,0.10718505,0.11116402,226800,-0.34921515,0.17268204
xcomet,XCOMET-XL,true,0.64198885,0.32307988,0.83008099,-0.73011631,0.01650625,0.02029101,226800,-0.53546323,0.03653621
bleurt,BLEURT,true,0.73049656,0.48247212,0.85789257,-0.62581398,0.05293999,0.05837743,226800,-0.44233919,0.08411869
