tier_rank,lemma_id,lemma_display,translation_run_id,rating,reference_words,aligned_groups,mean_bleu4,mean_rouge_l,mean_3gram_f1,mean_3gram_jaccard,mean_bleu4_resid_badness,mean_rouge_l_resid_badness,mean_3gram_f1_resid_badness,mean_3gram_jaccard_resid_badness,composite_resid_badness
1,2330,Καλύβη,3302,2,24.0,2,0.7850084305645257,0.9352226720647774,0.8090909090909091,0.6794871794871795,-0.1619879470740242,-0.09381553459637282,-0.20549117591246113,-0.14232266921688574,-0.8596610910587411
2,7252,Κύρτωνες,3431,4,27.0,4,0.7044606980605529,0.9104278074866311,0.764957264957265,0.6825396825396826,-0.09525856525389875,-0.07605532315246788,-0.17022601163827578,-0.15653316216461044,-0.7099817670177603
3,2055,Καβασσός,3229,7,109.0,8,0.31286214421344966,0.6266895481969011,0.22314533292794164,0.1438422049441786,0.12950389097201892,0.12274992901598825,0.2645121743676734,0.24744813012004907,1.005856325018517
4,2484,Καρία,3612,7,268.0,17,0.4802316133112599,0.7672007544901698,0.4880656732732857,0.40386510836337824,-0.14690061817515537,-0.07326889202626652,-0.0703857688607264,-0.1006179777980804,-0.58446452306342
5,2054,Καβαλίς,3226,6,66.0,7,0.8511675485224846,0.919689987431923,0.8513227513227513,0.7799305957200693,-0.3483493080902106,-0.13947547021311324,-0.32486762071035,-0.3398265410795831,-1.5583148455035434
6,2477,Καρδαμύλη,3331,6,43.0,6,0.43878799617001024,0.7178932178932179,0.45399159663865557,0.35912698412698413,0.11530285632094689,0.08842318726949616,0.10536978579696804,0.12237848666956713,0.5772381436774827
7,7255,Κυτέριον,3440,7,22.0,3,0.47713177077028807,0.7129629629629629,0.4238095238095238,0.28148148148148144,0.15605556773826962,0.13361992233197117,0.1863151956733365,0.2638925226823391,0.9888090306290774
8,2059,Καδμεία,3534,3,19.0,1,0.21836245334292012,0.6829268292682926,0.27027027027027023,0.15625,0.43186628582041287,0.17233150111200246,0.3507914504467898,0.40288453034070193,1.7686070232856839
9,7253,Κυρτώνιος,3434,2,18.0,3,0.6914660686187428,0.8333333333333334,0.7333333333333334,0.7037037037037037,-0.03498305475296437,0.02510892645681473,-0.10825768139516201,-0.13951899512332222,-0.3038935779476517
10,2624,Κατάβαθμος,3370,5,20.0,2,0.6635632383149455,0.8999999999999999,0.6875,0.6153846153846154,-0.019283563120627067,-0.04777022219105842,-0.07025632929476311,-0.06105381286722644,-0.324194718019644
