passage_number,passage_key,display_order,treatment,translation_run_id,profile_name,model,greta_rating,greta_prediction_rank,composite_divergence,lexical_divergence,neural_divergence,absolute_rank_error,candidate_words,reference_words,bleu4,chrfpp,meteor,rouge_l,unigram_f1,trigram_f1,char_trigram_f1,word_edit_similarity,bertscore,comet,xcomet,bleurt
1,xin-shi-wei-zhong-01,6,parallage,1,classical_chinese_focal_scholarly,gpt-5.5,3,1.66666667,4.58333333,4.72222222,4.16666667,2.91666667,40,42,0.39416778,0.67000473,0.72612562,0.75609756,0.75609756,0.41025641,0.70163934,0.69047619,0.95959187,0.79104829,0.76147652,0.75121814
2,xin-shi-wei-zhong-02,7,single,53,classical_chinese_focal_scholarly,gpt-5.5,4,3.88888889,3.19444444,2.08333333,3.88888889,0.69444444,28,28,0.74399172,0.85887875,0.92688081,0.92857143,0.92857143,0.69230769,0.85950413,0.89285714,0.97269934,0.79052633,0.70224017,0.77301627
3,xin-shi-wei-zhong-03,9,parallage,109,classical_chinese_focal_scholarly,gpt-5.5,4,3.88888889,2.08333333,2.91666667,1.11111111,1.80555556,51,54,0.77303258,0.79325671,0.87307468,0.89523810,0.89523810,0.67326733,0.79901961,0.87037037,0.98202986,0.80365795,0.83008099,0.85789257
4,xin-shi-wei-zhong-04,1,parallage,165,classical_chinese_focal_scholarly,gpt-5.5,8,8.33333333,10.00000000,9.86111111,10.00000000,1.66666667,40,37,0.09223350,0.36568917,0.46256702,0.41558442,0.51948052,0.08219178,0.34437086,0.27500000,0.87774163,0.61286026,0.32307988,0.48247212
5,xin-shi-wei-zhong-05,2,single,221,classical_chinese_focal_scholarly,gpt-5.5,8,8.33333333,5.83333333,5.97222222,6.11111111,2.50000000,64,68,0.40810188,0.58266284,0.68032891,0.69696970,0.63636364,0.31250000,0.59550562,0.61764706,0.96343672,0.75490344,0.66292197,0.74931836
6,xin-shi-wei-zhong-06,4,parallage,277,classical_chinese_focal_scholarly,gpt-5.5,9,10.00000000,7.63888889,7.36111111,7.77777778,2.36111111,29,33,0.34077853,0.56512249,0.63266871,0.64516129,0.67741935,0.31034483,0.58237548,0.45454545,0.92171329,0.74825370,0.52912426,0.68694466
7,xin-shi-wei-zhong-07,8,single,333,classical_chinese_focal_scholarly,gpt-5.5,5,6.11111111,8.47222222,8.61111111,8.88888889,2.36111111,39,35,0.17698322,0.50457695,0.63181142,0.67567568,0.56756757,0.05714286,0.55151515,0.41025641,0.90647876,0.70618576,0.42858636,0.58565301
8,xin-shi-wei-zhong-08,3,parallage,389,classical_chinese_focal_scholarly,gpt-5.5,5,6.11111111,1.66666667,1.66666667,2.22222222,4.44444444,36,34,0.78959591,0.89069976,0.92807393,0.94285714,0.88571429,0.78787879,0.87697161,0.86111111,0.98601329,0.85371596,0.67052907,0.79967672
9,xin-shi-wei-zhong-09,5,single,445,classical_chinese_focal_scholarly,gpt-5.5,2,0.00000000,6.11111111,6.80555556,5.00000000,6.11111111,30,32,0.39941361,0.60302540,0.62044025,0.61290323,0.61290323,0.37931034,0.59919028,0.59375000,0.93737531,0.77765357,0.69458419,0.77568841
10,xin-shi-wei-zhong-10,10,single,501,classical_chinese_focal_scholarly,gpt-5.5,3,1.66666667,0.41666667,0.00000000,0.83333333,1.25000000,39,39,0.83346766,0.90388672,0.94846510,0.94871795,0.94871795,0.86486486,0.93557423,0.94871795,0.99082768,0.82646459,0.81726509,0.84308535
