lexical_rank,profile_name,profile_label,is_focal,n,lexical_composite_similarity,mean_bleu4,mean_chrfpp,mean_meteor,mean_rouge_l,mean_unigram_f1,mean_trigram_f1,mean_char_trigram_f1,mean_word_edit_similarity
1,classical_chinese_focal_scholarly,Focal Scholarly Translation,true,10,0.66594457,0.49517664,0.67378035,0.74304365,0.75177765,0.74280736,0.45700649,0.68456663,0.66147317
2,parallage_04_minimal_inference,Minimal Inference,false,10,0.54908432,0.31684782,0.57077275,0.64907215,0.65964455,0.66877832,0.30985146,0.60133200,0.52686808
3,parallage_scholarly_edition,Scholarly Edition,false,10,0.54385923,0.30775899,0.58731847,0.64555354,0.63480593,0.65395279,0.34532197,0.59705160,0.52157077
4,parallage_06_smooth_idiomatic,Smooth Idiomatic,false,10,0.52360721,0.30352161,0.54366049,0.62829517,0.61895158,0.63501031,0.28465321,0.57028841,0.50080819
5,parallage_idiomatic_reader,Idiomatic Reader,false,10,0.51299264,0.30893412,0.53475579,0.60820935,0.60007130,0.60778784,0.25220852,0.53255702,0.46556010
6,parallage_compact_literal,Compact Literal,false,10,0.50137686,0.25936100,0.50444109,0.60126323,0.64044210,0.64349585,0.26460366,0.58938277,0.50233974
7,parallage_01_diplomatic_literal,Diplomatic Literal,false,10,0.48099886,0.23218359,0.49508562,0.58990952,0.60681671,0.59983503,0.21088544,0.55403362,0.44612175
8,parallage_08_controlled_english,Controlled English,false,10,0.45721099,0.20745380,0.50225826,0.56746479,0.55166712,0.55543615,0.23066220,0.50413473,0.39275917
9,parallage_10_plain_language,Plain Language,false,10,0.45034602,0.20194101,0.49133612,0.54813235,0.55997460,0.56887349,0.20129768,0.50882178,0.42073593
10,parallage_03_syntax_scaffold,Syntax Scaffold,false,10,0.36051526,0.07004985,0.41626776,0.51354907,0.44219435,0.45692403,0.17878158,0.39566185,0.27136178
11,parallage_18_mnemonic_translation,Mnemonic Translation,false,10,0.33929048,0.06954402,0.41042798,0.52018552,0.35700438,0.39382222,0.15023514,0.34925944,0.20988213
12,parallage_05_scholarly_readable,Scholarly Readable,false,10,0.33887915,0.08348155,0.43356989,0.48392291,0.35454225,0.40172766,0.17723656,0.34840022,0.20847146
13,parallage_19_alliterative_mnemonic,Alliterative Mnemonic,false,10,0.27879071,0.03890580,0.33804339,0.43626045,0.30195318,0.34940604,0.09727154,0.30355118,0.16355917
14,parallage_spectrum_pack,Spectrum Pack,false,10,0.27793624,0.06137359,0.36049988,0.46887169,0.22099982,0.25963154,0.10008862,0.23703472,0.11635122
15,parallage_09_analyst_brief,Analyst Brief,false,10,0.27788783,0.05417283,0.36250235,0.41720169,0.27767446,0.32660171,0.09604172,0.27665063,0.15490278
16,parallage_17_back_translation_audit,Back Translation Audit,false,10,0.27075266,0.05547327,0.33969831,0.41834433,0.26949474,0.28695625,0.12411248,0.25299229,0.14868777
17,parallage_20_rhyming_poetry,Rhyming Poetry,false,10,0.26178469,0.05327464,0.29632948,0.31891172,0.37862294,0.37325461,0.04112219,0.32908957,0.20620410
18,parallage_13_forked_lattice,Forked Lattice,false,10,0.25413254,0.05098762,0.33075552,0.42510426,0.20968275,0.23897946,0.09512346,0.21854971,0.11319005
19,parallage_02_interlinear_gloss,Interlinear Gloss,false,10,0.25096148,0.03090057,0.26990774,0.48869120,0.21434640,0.23647880,0.08102972,0.19989450,0.11582483
20,parallage_memory_pack,Memory Pack,false,10,0.24996087,0.05290758,0.33996374,0.36598975,0.24098239,0.26854827,0.10898860,0.24513162,0.12404062
21,parallage_16_adversarial_red_team,Adversarial Red Team,false,10,0.24923312,0.05396356,0.33182311,0.39015169,0.22099412,0.26039394,0.11019734,0.22553255,0.11451109
22,parallage_07_message_paraphrase,Message Paraphrase,false,10,0.24624994,0.03323309,0.30383086,0.41653535,0.23140047,0.26250242,0.07289397,0.23269870,0.12526578
23,parallage_audit_pack,Audit Pack,false,10,0.24403965,0.04298244,0.29547854,0.44560369,0.19209393,0.22327504,0.08406504,0.19507140,0.10566872
24,parallage_12_named_entity_explicit,Named Entity Explicit,false,10,0.24132802,0.04068615,0.29586599,0.39415722,0.23460270,0.26417809,0.09476009,0.21579952,0.12022043
25,parallage_15_decision_log,Decision Log,false,10,0.23731179,0.03354577,0.26814197,0.46324421,0.18431523,0.20573840,0.07443423,0.17591249,0.09873481
26,parallage_14_uncertainty_annotated,Uncertainty Annotated,false,10,0.21781673,0.03634921,0.27780670,0.36542847,0.19168254,0.22478472,0.08283942,0.19335937,0.10367089
27,parallage_lattice_pack,Lattice Pack,false,10,0.21427058,0.03883524,0.27941857,0.36061422,0.17821430,0.20554214,0.07887464,0.17973640,0.09193216
28,parallage_11_learners_translation,Learner's Translation,false,10,0.19485309,0.02655571,0.24605977,0.33797461,0.16882227,0.19653786,0.07864252,0.17799854,0.08939123
