passage_number,passage_label,passage_key,treatment,source_han_characters,reference_words,profile_count,greta_rating,raw_composite_divergence,passage_mean_bleu4,passage_mean_chrfpp,passage_mean_meteor,passage_mean_rouge_l,passage_mean_unigram_f1,passage_mean_trigram_f1,passage_mean_char_trigram_f1,passage_mean_word_edit_similarity,passage_mean_primary_lexical_similarity,bleu4,chrfpp,meteor,rouge_l,bertscore,comet,xcomet,bleurt,source_length_adjusted_composite_badness,reference_length_adjusted_composite_badness
1,P1,xin-shi-wei-zhong-01,parallage,21,42,28,3.0,4.58333333,0.14907126285714287,0.4530710235714286,0.5471278235714285,0.44141668142857143,0.46466350107142856,0.2235776467857143,0.4201670360714286,0.31383619464285717,0.39767169785714285,0.39416778,0.67000473,0.72612562,0.75609756,0.95959187,0.79104829,0.76147652,0.75121814,-0.18130320772893474,-0.11078550334369555
2,P2,xin-shi-wei-zhong-02,single,18,28,28,4.0,3.19444444,0.18640840892857144,0.44962471428571427,0.5772937767857143,0.45254820535714285,0.4682560257142857,0.24977823392857143,0.4066227021428572,0.34759411892857145,0.4164687763392857,0.74399172,0.85887875,0.92688081,0.92857143,0.97269934,0.79052633,0.70224017,0.77301627,-0.8538465586553188,-0.8262011250175177
3,P3,xin-shi-wei-zhong-03,parallage,32,54,28,4.0,2.08333333,0.22998491571428573,0.5110058732142857,0.5717585592857143,0.5050743,0.5130929910714286,0.33026493892857145,0.44779441035714285,0.39288576,0.45445591205357144,0.77303258,0.79325671,0.87307468,0.8952381,0.98202986,0.80365795,0.83008099,0.85789257,-0.7055503633596332,-0.7708227212920586
4,P4,xin-shi-wei-zhong-04,parallage,23,37,28,8.0,10.0,0.03935251571428571,0.27625550285714284,0.3497161617857143,0.22007271,0.2840646135714286,0.03540806642857143,0.23726430142857144,0.13036382892857143,0.22134922258928572,0.0922335,0.36568917,0.46256702,0.41558442,0.87774163,0.61286026,0.32307988,0.48247212,1.9065707179745444,1.8818359071841613
5,P5,xin-shi-wei-zhong-05,single,43,68,28,8.0,5.83333333,0.10970935035714285,0.3819698742857143,0.42781858107142856,0.3565468417857143,0.3899758,0.10841699892857143,0.3423802260714286,0.2121296425,0.319011161875,0.40810188,0.58266284,0.68032891,0.6969697,0.96343672,0.75490344,0.66292197,0.74931836,0.45536156978365405,0.3046026757005984
6,P6,xin-shi-wei-zhong-06,parallage,16,33,28,9.0,7.63888889,0.09131089785714286,0.3468287171428571,0.4586648467857143,0.33067773714285714,0.37908834035714284,0.11515332892857143,0.3078582617857143,0.20505710357142856,0.30687054973214284,0.34077853,0.56512249,0.63266871,0.64516129,0.92171329,0.7482537,0.52912426,0.68694466,0.38497962839832234,0.5185372850865244
7,P7,xin-shi-wei-zhong-07,single,22,35,28,5.0,8.47222222,0.03848333285714286,0.3141360089285714,0.4248994264285714,0.32584732035714287,0.27792384035714285,0.020862306785714286,0.2956594810714286,0.15399099321428572,0.2758415221428571,0.17698322,0.50457695,0.63181142,0.67567568,0.90647876,0.70618576,0.42858636,0.58565301,0.9675349927917958,0.9525972338939224
8,P8,xin-shi-wei-zhong-08,parallage,21,34,28,5.0,1.66666667,0.16149834464285714,0.4363989246428571,0.5123396371428571,0.39655920857142857,0.39845854607142855,0.2077748,0.3763543632142857,0.28565825678571427,0.37669902875,0.78959591,0.89069976,0.92807393,0.94285714,0.98601329,0.85371596,0.67052907,0.79967672,-0.9947534276449266,-0.9847514913464455
9,P9,xin-shi-wei-zhong-09,single,17,32,28,2.0,6.11111111,0.09726186107142858,0.3491090642857143,0.47236619714285716,0.34980809714285716,0.36897335964285716,0.15009389071428572,0.3161848742857143,0.2507312767857143,0.3171363049107143,0.39941361,0.6030254,0.62044025,0.61290323,0.93737531,0.77765357,0.69458419,0.77568841,0.06162886574572124,0.15362830943995587
10,P10,xin-shi-wei-zhong-10,single,27,39,28,3.0,0.41666667,0.16849092678571428,0.44581476607142856,0.5193313364285714,0.36922560428571427,0.4238102385714286,0.15982318214285715,0.3834619382142857,0.25064850214285717,0.37571565839285714,0.83346766,0.90388672,0.9484651,0.94871795,0.99082768,0.82646459,0.81726509,0.84308535,-1.0406222173052337,-1.1186405703054685
