reviewer,subset,n,rating_min,rating_max,rating_mean,rating_sd,reference_words_min,reference_words_max,rating_vs_log_reference_words_spearman,rating_vs_log_reference_words_p,mean_bleu4_raw_spearman,mean_bleu4_raw_p,mean_bleu4_resid_badness_spearman,mean_bleu4_resid_badness_p,mean_rouge_l_raw_spearman,mean_rouge_l_raw_p,mean_rouge_l_resid_badness_spearman,mean_rouge_l_resid_badness_p,mean_3gram_f1_raw_spearman,mean_3gram_f1_raw_p,mean_3gram_f1_resid_badness_spearman,mean_3gram_f1_resid_badness_p,mean_3gram_jaccard_raw_spearman,mean_3gram_jaccard_raw_p,mean_3gram_jaccard_resid_badness_spearman,mean_3gram_jaccard_resid_badness_p,composite_resid_badness_spearman,composite_resid_badness_p
shirley,all_latest,19,5.0,9.0,6.421052631578948,0.9612370197756298,11.0,268.0,0.21791502963966514,0.37013365911430673,-0.14076969322758615,0.5654137770051113,0.10604650223144824,0.6656785107442218,-0.30687793123613777,0.20126950279502268,0.20552375211227578,0.3986111903642806,-0.14076969322758615,0.5654137770051113,0.11543114844662064,0.6379460283397045,-0.1783082780882758,0.4651781324999363,0.16610823800855165,0.49673265898813423,0.12856965314786203,0.5998881826751157
shirley,primary_only,9,5.0,7.0,6.222222222222222,0.97182531580755,18.0,268.0,0.037267799624996496,0.9241664790435741,-0.14907119849998599,0.7018823620271208,0.09316949906249125,0.8115642960929882,-0.1863389981249825,0.6312063870469882,0.13043729868748774,0.7380140391831826,-0.14907119849998599,0.7018823620271208,0.14907119849998599,0.7018823620271208,-0.07453559924999299,0.8488585431471023,0.24224069756247724,0.5300103752722781,0.037267799624996496,0.9241664790435741
vanessa,all_latest,10,2.0,7.0,4.9,2.0248456731316584,18.0,268.0,0.6914766008048603,0.026767412987555233,-0.370433893288318,0.29201378662946276,0.19756474308710298,0.5843042480170487,-0.4939118577177574,0.1468002346570944,0.21608643775151884,0.5487708744891453,-0.4753901630533415,0.16494775537985396,0.40130338439567786,0.25038525734130845,-0.4753901630533415,0.16494775537985396,0.3210427075165423,0.3657356698667886,0.21608643775151884,0.5487708744891453
vanessa,primary_only,10,2.0,7.0,4.9,2.0248456731316584,18.0,268.0,0.6914766008048603,0.026767412987555233,-0.370433893288318,0.29201378662946276,0.19756474308710298,0.5843042480170487,-0.4939118577177574,0.1468002346570944,0.21608643775151884,0.5487708744891453,-0.4753901630533415,0.16494775537985396,0.40130338439567786,0.25038525734130845,-0.4753901630533415,0.16494775537985396,0.3210427075165423,0.3657356698667886,0.21608643775151884,0.5487708744891453
