reviewer,lemma_id,lemma,translation_run_id,rating,source_words,xcomet,xcomet_divergence,ensemble_quality_z,ensemble_divergence_z,passage_number,passage,treatment,source_han_characters,ensemble_divergence
shirley,2054,Καβαλίς,3226,7.0,47,0.3606477379798889,0.6393522620201111,1.09291221473024,-1.09291221473024,,,,,
shirley,2055,Καβασσός,3229,5.0,74,0.41332316398620605,0.586676836013794,-1.4858512758826175,1.4858512758826175,,,,,
shirley,2080,Καλαβρία,2347,6.0,13,0.8685556650161743,0.13144433498382568,-1.4547239088248214,1.4547239088248214,,,,,
shirley,2115,Καλὴ ἀκτή,4054,6.0,49,0.21355004608631134,0.7864499539136887,1.820709118122482,-1.820709118122482,,,,,
shirley,2325,Καλλίαι,3290,6.0,17,0.9059475660324097,0.09405243396759033,-0.481026215149742,0.481026215149742,,,,,
shirley,2329,Κάλπη,2361,6.0,36,0.3123295307159424,0.6876704692840576,0.3771242785129071,-0.3771242785129071,,,,,
shirley,2330,Καλύβη,3302,5.0,14,0.6353068351745605,0.36469316482543945,0.9061296587990655,-0.9061296587990655,,,,,
shirley,2477,Καρδαμύλη,3331,7.0,35,0.3953707218170166,0.6046292781829834,-0.6789363297315739,0.6789363297315739,,,,,
shirley,2484,Καρία,3612,7.0,194,0.1839200109243393,0.8160799890756607,-0.4400921111188366,0.4400921111188366,,,,,
shirley,2609,Κάσπειρος,3358,9.0,90,0.4064801335334778,0.5935198664665222,-0.2639203534641513,0.2639203534641513,,,,,
shirley,2624,Κατάβαθμος,3370,7.0,16,0.7298930883407593,0.2701069116592407,0.49132362624493775,-0.49132362624493775,,,,,
shirley,2629,Καταννοί,3385,7.0,8,0.856791615486145,0.14320838451385498,0.7392023687726309,-0.7392023687726309,,,,,
shirley,7242,Κύρβη,3403,6.0,8,0.7414629459381104,0.25853705406188965,0.8436787175446937,-0.8436787175446937,,,,,
shirley,7249,Κύρρος,3423,6.0,33,0.5252712965011597,0.47472870349884033,-0.28513561798389664,0.28513561798389664,,,,,
shirley,7252,Κύρτωνες,3431,5.0,20,0.7361942529678345,0.2638057470321655,0.7106244271781906,-0.7106244271781906,,,,,
shirley,7253,Κυρτώνιος,3434,6.0,14,0.8547228574752808,0.14527714252471924,0.5105005751606589,-0.5105005751606589,,,,,
shirley,7255,Κυτέριον,3440,7.0,18,0.3809458613395691,0.6190541386604309,-0.7511290186638158,0.7511290186638158,,,,,
shirley,7260,Κυχρεῖος πάγος,3452,7.0,47,0.6087837219238281,0.3912162780761719,-0.6667081959876373,0.6667081959876373,,,,,
shirley,7266,Κώμη,3470,7.0,56,0.1240939274430275,0.8759060725569725,-2.1167016170774784,2.1167016170774784,,,,,
vanessa,2054,Καβαλίς,3226,6.0,47,0.3606477379798889,0.6393522620201111,1.09291221473024,-1.09291221473024,,,,,
vanessa,2055,Καβασσός,3229,7.0,74,0.41332316398620605,0.586676836013794,-1.4858512758826175,1.4858512758826175,,,,,
vanessa,2059,Καδμεία,3534,3.0,17,0.7580975294113159,0.24190247058868408,-1.4120792354100875,1.4120792354100875,,,,,
vanessa,2330,Καλύβη,3302,2.0,14,0.6353068351745605,0.36469316482543945,0.9061296587990655,-0.9061296587990655,,,,,
vanessa,2477,Καρδαμύλη,3331,6.0,35,0.3953707218170166,0.6046292781829834,-0.6789363297315739,0.6789363297315739,,,,,
vanessa,2484,Καρία,3612,7.0,194,0.1839200109243393,0.8160799890756607,-0.4400921111188366,0.4400921111188366,,,,,
vanessa,2624,Κατάβαθμος,3370,5.0,16,0.7298930883407593,0.2701069116592407,0.49132362624493775,-0.49132362624493775,,,,,
vanessa,7252,Κύρτωνες,3431,4.0,20,0.7361942529678345,0.2638057470321655,0.7106244271781906,-0.7106244271781906,,,,,
vanessa,7253,Κυρτώνιος,3434,2.0,14,0.8547228574752808,0.14527714252471924,0.5105005751606589,-0.5105005751606589,,,,,
vanessa,7255,Κυτέριον,3440,7.0,18,0.3809458613395691,0.6190541386604309,-0.7511290186638158,0.7511290186638158,,,,,
greta,,,,3.0,,0.76147652,0.23852348,,,1,xin-shi-wei-zhong-01,parallage,21,4.58333333
greta,,,,4.0,,0.70224017,0.29775982999999995,,,2,xin-shi-wei-zhong-02,single,18,3.19444444
greta,,,,4.0,,0.83008099,0.16991900999999998,,,3,xin-shi-wei-zhong-03,parallage,32,2.08333333
greta,,,,8.0,,0.32307988,0.67692012,,,4,xin-shi-wei-zhong-04,parallage,23,10.0
greta,,,,8.0,,0.66292197,0.33707803000000003,,,5,xin-shi-wei-zhong-05,single,43,5.83333333
greta,,,,9.0,,0.52912426,0.47087574,,,6,xin-shi-wei-zhong-06,parallage,16,7.63888889
greta,,,,5.0,,0.42858636,0.5714136400000001,,,7,xin-shi-wei-zhong-07,single,22,8.47222222
greta,,,,5.0,,0.67052907,0.32947093000000005,,,8,xin-shi-wei-zhong-08,parallage,21,1.66666667
greta,,,,2.0,,0.69458419,0.30541580999999995,,,9,xin-shi-wei-zhong-09,single,17,6.11111111
greta,,,,3.0,,0.81726509,0.18273490999999997,,,10,xin-shi-wei-zhong-10,single,27,0.41666667
