reviewer,n,xcomet_rho,xcomet_p,ensemble_rho,ensemble_p,p_method,permutations,partial_rank_r,partial_rank_p,selected_metric,parallage_rho,parallage_p,single_rho,single_p
vanessa,10,0.7964328705698839,0.008452380952380953,0.47539016305334153,0.1668915343915344,exact two-sided permutation,151200,0.5123472120849908,0.12999920499848444,XCOMET-XL divergence,,,,
greta,10,0.7301163117764201,0.02029100529100529,0.47242820173768363,0.16965608465608464,exact two-sided permutation,226800,0.7574206720776245,0.011169710068310135,XCOMET-XL divergence,0.7999999999999998,0.13333333333333333,0.5999999999999999,0.35
shirley,19,0.3453549807183447,0.147419,0.183000601195862,0.451524,two-sided Monte Carlo permutation,999999,0.1909620371167355,0.4335552680647112,XCOMET-XL divergence,,,,
